timestamp,main_state_changes,main_state
1685302,0,0
2188366,0,0
2695307,0,0
3202307,0,0
3709309,0,0
4216339,0,0
4723307,0,0
5230310,0,0
5737309,0,0
6244306,0,0
6751307,0,0
7258308,0,0
7765372,0,0
8272307,0,0
8779308,0,0
9286308,0,0
9793307,0,0
10300310,0,0
10807307,0,0
11314311,0,0
11821309,0,0
12328311,0,0
12835310,0,0
13342368,0,0
13849307,0,0
14356308,0,0
14863312,0,0
15370306,0,0
15877308,0,0
16384308,0,0
16891307,0,0
17398307,0,0
17905308,0,0
18412312,0,0
18919367,0,0
19426311,0,0
19933311,0,0
20440307,0,0
20947309,0,0
21454307,0,0
21961309,0,0
22468339,0,0
22975308,0,0
23482307,0,0
23989307,0,0
24496447,0,0
24685351,0,0
25192308,0,0
25688315,0,0
25701523,0,0
26212316,0,0
26720320,0,0
27229318,0,0
27730321,0,0
28238319,0,0
28740318,0,0
29241347,0,0
29742363,0,0
30254067,0,0
30761319,0,0
31265318,0,0
31775365,0,0
32284318,0,0
32793948,0,0
33304320,0,0
33812367,0,0
34323360,0,0
34831345,0,0
35340359,0,0
35850330,0,0
36359329,0,0
36866625,0,0
37375389,0,0
37751373,1,4
38260358,1,4
38770383,1,4
39279378,1,4
39788342,1,4
40299327,1,4
40808362,1,4
41309369,1,4
41688338,2,3
42189361,2,3
42691327,2,3
42825494,2,3
42836341,2,3
43343334,2,3
43850910,2,3
44361372,2,3
44872370,2,3
45381330,2,3
45891330,2,3
46391376,2,3
46901358,2,3
47408383,2,3
47918758,2,3
48427488,2,3
48936331,2,3
49436404,2,3
49947376,2,3
50447497,2,3
50959714,2,3
51468383,2,3
51979837,2,3
52487330,2,3
52995512,2,3
53503375,2,3
54012328,2,3
54518374,2,3
55026330,2,3
55526365,2,3
56035479,2,3
56544331,2,3
57050330,2,3
57559333,2,3
58067370,2,3
58573331,2,3
59080330,2,3
59589335,2,3
60096330,2,3
60604516,2,3
61111497,2,3
61618330,2,3
62124364,2,3
62631884,2,3
63140330,2,3
63648332,2,3
64156339,2,3
64663355,2,3
65170836,2,3
65678338,2,3
66185331,2,3
66695858,2,3
67203475,2,3
67713379,2,3
68220360,2,3
68728363,2,3
69236341,2,3
69736701,2,3
70244400,2,3
70745335,2,3
71254333,2,3
71765331,2,3
72267330,2,3
72771787,2,3
73274331,2,3
73783989,2,3
74293426,2,3
74795335,2,3
75296327,2,3
75799967,2,3
76308332,2,3
76813374,2,3
77316655,2,3
77826329,2,3
78336526,2,3
78844905,2,3
79356462,2,3
79865402,2,3
80373328,2,3
80882329,2,3
81391370,2,3
81900329,2,3
82409359,2,3
82919758,2,3
83425366,2,3
83934366,2,3
84435708,2,3
84945330,2,3
85454330,2,3
85962389,2,3
86469360,2,3
86977379,2,3
87485328,2,3
87992661,2,3
88499330,2,3
89009329,2,3
89518391,2,3
90029431,2,3
90538328,2,3
91046329,2,3
91556535,2,3
92065366,2,3
92573330,2,3
93073359,2,3
93582328,2,3
94092974,2,3
94602333,2,3
95110328,2,3
95621363,2,3
96123328,2,3
96633335,2,3
97141381,2,3
97649424,2,3
98151328,2,3
98653404,2,3
99154602,2,3
99660685,2,3
100164896,2,3
100665333,2,3
101167328,2,3
101669347,2,3
102180859,2,3
102685449,2,3
103196397,2,3
103703335,2,3
104205478,2,3
104707328,2,3
105217513,2,3
105725328,2,3
106234373,2,3
106734563,2,3
107243328,2,3
107752606,2,3
108259329,2,3
108765331,2,3
109271329,2,3
109778329,2,3
110285330,2,3
110793330,2,3
111303330,2,3
111810331,2,3
112318518,2,3
112825757,2,3
113334357,2,3
113841458,2,3
114352801,2,3
114860330,2,3
115364376,2,3
115873597,2,3
116378953,2,3
116880328,2,3
117385599,2,3
117889732,2,3
118397373,2,3
118907328,2,3
119415400,2,3
119921557,2,3
120430706,2,3
120933363,2,3
121440054,2,3
121942596,2,3
122444360,2,3
122947328,2,3
123453707,2,3
123957732,2,3
124458613,2,3
124967814,2,3
125479305,2,3
125984331,2,3
126488329,2,3
126999331,2,3
127510329,2,3
128011562,2,3
128512336,2,3
129022332,2,3
129524357,2,3
130033885,2,3
130538371,2,3
131040360,2,3
131541330,2,3
132048329,2,3
132558330,2,3
133066333,2,3
133576418,2,3
134084328,2,3
134592329,2,3
135101330,2,3
135602499,2,3
136109622,2,3
136610964,2,3
137118432,2,3
137620361,2,3
138130379,2,3
138639329,2,3
139146455,2,3
139655329,2,3
140165329,2,3
140668843,2,3
141175363,2,3
141679330,2,3
142189363,2,3
142692476,2,3
143199361,2,3
143703237,2,3
144203329,2,3
144708744,2,3
145216361,2,3
145723261,2,3
146223328,2,3
146728334,2,3
147237329,2,3
147738747,2,3
148240361,2,3
148743211,2,3
149251145,2,3
149761329,2,3
150262965,2,3
150763351,2,3
151264328,2,3
151773330,2,3
152281330,2,3
152790372,2,3
153298892,2,3
153807328,2,3
154315640,2,3
154824330,2,3
155330840,2,3
155839540,2,3
156341331,2,3
156849328,2,3
157358445,2,3
157866370,2,3
158373329,2,3
158880329,2,3
159387360,2,3
159897330,2,3
160404329,2,3
160911856,2,3
161412329,2,3
161921358,2,3
162427389,2,3
162935392,2,3
163443827,2,3
163952329,2,3
164461332,2,3
164971665,2,3
165480330,2,3
165986389,2,3
166496027,2,3
167002331,2,3
167508333,2,3
168008338,2,3
168511934,2,3
169020334,2,3
169526333,2,3
170036333,2,3
170542345,2,3
171052330,2,3
171560354,2,3
172066359,2,3
172566405,2,3
173076362,2,3
173585361,2,3
174091856,2,3
174599946,2,3
175101361,2,3
175603582,2,3
176110363,2,3
176611359,2,3
177111613,2,3
177621873,2,3
178123834,2,3
178634336,2,3
179140862,2,3
179651329,2,3
180160620,2,3
180670329,2,3
181181330,2,3
181691974,2,3
182200528,2,3
182708479,2,3
183216329,2,3
183716713,2,3
184225334,2,3
184727405,2,3
185236664,2,3
185745329,2,3
186253331,2,3
186762403,2,3
187272148,2,3
187780331,2,3
188287328,2,3
188795671,2,3
189305328,2,3
189812435,2,3
190319332,2,3
190827701,2,3
191334334,2,3
191841197,2,3
192348561,2,3
192860526,2,3
193369330,2,3
193877326,2,3
194385369,2,3
194894346,2,3
195403328,2,3
195910328,2,3
196416945,2,3
196924464,2,3
197424838,2,3
197935951,2,3
198443331,2,3
198953347,2,3
199457340,2,3
199966328,2,3
200476627,2,3
200977329,2,3
201488685,2,3
201988983,2,3
202490362,2,3
203001241,2,3
203511331,2,3
204021329,2,3
204530348,2,3
205041329,2,3
205542330,2,3
206050329,2,3
206561360,2,3
207071377,2,3
207575334,2,3
208085384,2,3
208595371,2,3
209105333,2,3
209613006,2,3
210119328,2,3
210626334,2,3
211137345,2,3
211647367,2,3
212155329,2,3
212665435,2,3
213171331,2,3
213681132,2,3
214188398,2,3
214697330,2,3
215204738,2,3
215713329,2,3
216221329,2,3
216731332,2,3
217240399,2,3
217746359,2,3
218254362,2,3
218755329,2,3
219262330,2,3
219769740,2,3
220278387,2,3
220786329,2,3
221293569,2,3
221802121,2,3
222302218,2,3
222811328,2,3
223314360,2,3
223823329,2,3
224331381,2,3
224838360,2,3
225344326,2,3
225854377,2,3
226362369,2,3
226864361,2,3
227370363,2,3
227880374,2,3
228391377,2,3
228903126,2,3
229413974,2,3
229914362,2,3
230423329,2,3
230926658,2,3
231431335,2,3
231941739,2,3
232450330,2,3
232958479,2,3
233469353,2,3
233978332,2,3
234487383,2,3
234998525,2,3
235506329,2,3
236006454,2,3
236514411,2,3
237022565,2,3
237528365,2,3
238038329,2,3
238546845,2,3
239047167,2,3
239554042,2,3
240060368,2,3
240568330,2,3
241076332,2,3
241583332,2,3
242090371,2,3
242597330,2,3
243104328,2,3
243611330,2,3
244119125,2,3
244624373,2,3
245130892,2,3
245637329,2,3
246137364,2,3
246645331,2,3
247147337,2,3
247654367,2,3
248164363,2,3
248672361,2,3
249179377,2,3
249686780,2,3
250197329,2,3
250704329,2,3
251205330,2,3
251714714,2,3
252223330,2,3
252731416,2,3
253241365,2,3
253743481,2,3
254253330,2,3
254762895,2,3
255272384,2,3
255775374,2,3
256277327,2,3
256786981,2,3
257295330,2,3
257805370,2,3
258311360,2,3
258820374,2,3
259329335,2,3
259839134,2,3
260345328,2,3
260848330,2,3
261355658,2,3
261859364,2,3
262363323,2,3
262863822,2,3
263371026,2,3
263871327,2,3
264375331,2,3
264883583,2,3
265390347,2,3
265898976,2,3
266406683,2,3
266913329,2,3
267420329,2,3
267927468,2,3
268393468,3,0
268407398,4,4
268914748,4,4
