timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature,device_id
25785016,0,0.0,0.0,25.0,0
25788967,0,0.0,0.0,25.0,0
26785285,0,0.0,0.0,25.0,0
27785382,0,0.0,0.0,25.0,0
28785331,0,0.0,0.0,25.0,0
29784830,0,0.0,0.0,25.0,0
30785422,0,0.0,0.0,25.0,0
31784928,0,0.0,0.0,25.0,0
32785649,0,0.0,0.0,25.0,0
33781419,0,0.0,0.0,25.0,0
34785385,0,0.0,0.0,25.0,0
35785862,0,0.0,0.0,25.0,0
36785777,0,0.0,0.0,25.0,0
37785774,0,0.0,0.0,25.0,0
38785584,0,0.0,0.0,25.0,0
39781804,0,0.0,0.0,25.0,0
40785361,0,0.0,0.0,25.0,0
41785959,0,0.0,0.0,25.0,0
42785742,0,0.0,0.0,25.0,0
43785909,0,0.0,0.0,25.0,0
44785683,0,3.5400495e-05,3.5400495e-05,25.0,0
45786043,0,8.240671e-06,8.240671e-06,25.0,0
46781802,0,1.2392323e-05,1.2392323e-05,25.0,0
47786125,0,0.22818907,0.22818907,25.0,0
48785963,0,0.6889884,0.6889884,25.0,0
49781512,0,0.9782599,0.9782599,25.0,0
50782286,0,1.3856175,1.3856175,25.0,0
51786240,0,1.4325656,1.4325656,25.0,0
52786173,0,1.5154644,1.5154644,25.0,0
53782544,0,1.5136846,1.5136846,25.0,0
54778983,0,1.5049365,1.5049365,25.0,0
55787124,0,4.273922,4.273922,25.0,0
56786369,0,4.0853252,4.0853252,25.0,0
57786522,0,4.9428773,4.9428773,25.0,0
58785859,0,5.416149,5.416149,25.0,0
59786577,0,5.427827,5.427827,25.0,0
60782661,0,5.487859,5.487859,25.0,0
61786199,0,5.684964,5.684964,25.0,0
62787055,0,5.5167856,5.5167856,25.0,0
63786140,0,5.6732817,5.6732817,25.0,0
64786148,0,4.875963,4.875963,25.0,0
65782508,0,4.38261,4.38261,25.0,0
66786906,0,4.1941047,4.1941047,25.0,0
67782798,0,2.0965657,2.0965657,25.0,0
68783153,0,1.00311,1.00311,25.0,0
69786811,0,0.43006438,0.43006438,25.0,0
70787202,0,0.23938848,0.23938848,25.0,0
71783057,0,0.1526496,0.1526496,25.0,0
72783084,0,2.5698094,2.5698094,25.0,0
73787087,0,12.500125,12.500125,25.0,0
74782966,0,13.948409,13.948409,25.0,0
75783422,0,15.342162,15.342162,25.0,0
76782702,0,16.219015,16.219015,25.0,0
77787266,0,15.986679,15.986679,25.0,0
78783298,0,15.5613785,15.5613785,25.0,0
79787232,0,15.348273,15.348273,25.0,0
80787239,0,14.80782,14.80782,25.0,0
81783309,0,14.323002,14.323002,25.0,0
82783275,0,14.418587,14.418587,25.0,0
83787576,0,14.781242,14.781242,25.0,0
84787664,0,15.269658,15.269658,25.0,0
85783255,0,15.525574,15.525574,25.0,0
86783819,0,15.605138,15.605138,25.0,0
87787853,0,15.078406,15.078406,25.0,0
88783787,0,14.692901,14.692901,25.0,0
89784148,0,14.956051,14.956051,25.0,0
90787386,0,15.070115,15.070115,25.0,0
91787513,0,14.85761,14.85761,25.0,0
92783902,0,15.046422,15.046422,25.0,0
93783864,0,15.000698,15.000698,25.0,0
94787532,0,15.031232,15.031232,25.0,0
95784154,0,14.916618,14.916618,25.0,0
96780367,0,9.267713,9.267713,25.0,0
97783861,0,3.9937134,3.9937134,25.0,0
98784172,0,2.1863747,2.1863747,25.0,0
99784523,0,3.1186366,3.1186366,25.0,0
100784348,0,13.841322,13.841322,25.0,0
101780591,0,14.831874,14.831874,25.0,0
102784204,0,15.246778,15.246778,25.0,0
103783658,0,15.18593,15.18593,25.0,0
104787914,0,15.366372,15.366372,25.0,0
105788378,0,15.782848,15.782848,25.0,0
106784047,0,16.056303,16.056303,25.0,0
107784455,0,14.758064,14.758064,25.0,0
108783916,0,14.816872,14.816872,25.0,0
109784752,0,15.141493,15.141493,25.0,0
110784643,0,15.59452,15.59452,25.0,0
111784914,0,15.603155,15.603155,25.0,0
112788577,0,15.255344,15.255344,25.0,0
113784843,0,14.783965,14.783965,25.0,0
114784450,0,14.569776,14.569776,25.0,0
115780927,0,13.639721,13.639721,25.0,0
116784803,0,25.3701,25.3701,25.0,0
117784399,0,35.424015,35.424015,25.0,0
118784376,0,45.978622,45.978622,25.0,0
119780947,0,65.52581,65.52581,25.0,0
120784788,0,42.040653,42.040653,25.0,0
121785181,0,22.560211,22.560211,25.0,0
122785027,0,2.649627,2.649627,25.0,0
123785348,0,4.805608,4.805608,25.0,0
124784921,0,4.4868326,4.4868326,25.0,0
125784423,0,6.246568,6.246568,25.0,0
126789082,0,8.865954,8.865954,25.0,0
127785377,0,19.713165,19.713165,25.0,0
128784838,0,20.387383,20.387383,25.0,0
129785087,0,22.196404,22.196404,25.0,0
130785306,0,23.48016,23.48016,25.0,0
131785360,0,23.463194,23.463194,25.0,0
132785400,0,22.50297,22.50297,25.0,0
133785760,0,22.156643,22.156643,25.0,0
134785447,0,21.751093,21.751093,25.0,0
135785395,0,22.711134,22.711134,25.0,0
136785641,0,21.787556,21.787556,25.0,0
137781585,0,21.803255,21.803255,25.0,0
138785201,0,14.963039,14.963039,25.0,0
139785716,0,7.242453,7.242453,25.0,0
140785165,0,2.8597102,2.8597102,25.0,0
141785785,0,1.747236,1.747236,25.0,0
142782152,0,2.4999044,2.4999044,25.0,0
143781315,0,10.394705,10.394705,25.0,0
144785187,0,13.69641,13.69641,25.0,0
145786206,0,14.093925,14.093925,25.0,0
146785939,0,14.234424,14.234424,25.0,0
147786364,0,13.908301,13.908301,25.0,0
148785950,0,13.647109,13.647109,25.0,0
149785673,0,13.647305,13.647305,25.0,0
150786058,0,14.026109,14.026109,25.0,0
151782420,0,14.210929,14.210929,25.0,0
152786070,0,14.337881,14.337881,25.0,0
153786279,0,14.705199,14.705199,25.0,0
154786412,0,15.302398,15.302398,25.0,0
155786342,0,15.68886,15.68886,25.0,0
156786336,0,16.331219,16.331219,25.0,0
157785663,0,16.30528,16.30528,25.0,0
158782305,0,15.210525,15.210525,25.0,0
159782874,0,14.794418,14.794418,25.0,0
160786024,0,14.024729,14.024729,25.0,0
161786798,0,14.050923,14.050923,25.0,0
162782334,0,14.818102,14.818102,25.0,0
163786872,0,14.757662,14.757662,25.0,0
164786534,0,14.296073,14.296073,25.0,0
165782962,0,14.374794,14.374794,25.0,0
166786323,0,15.001398,15.001398,25.0,0
167787044,0,15.414988,15.414988,25.0,0
168786724,0,15.564953,15.564953,25.0,0
169782527,0,15.418583,15.418583,25.0,0
170786620,0,11.733931,11.733931,25.0,0
171787207,0,5.883296,5.883296,25.0,0
172783336,0,2.2586596,2.2586596,25.0,0
173783168,0,0.86039674,0.86039674,25.0,0
174783186,0,0.7356275,0.7356275,25.0,0
175786831,0,3.6250129,3.6250129,25.0,0
176783416,0,12.912442,12.912442,25.0,0
177786613,0,12.576124,12.576124,25.0,0
178787053,0,13.00554,13.00554,25.0,0
179783163,0,13.293602,13.293602,25.0,0
180783594,0,13.599312,13.599312,25.0,0
181787207,0,13.626777,13.626777,25.0,0
182786833,0,13.874783,13.874783,25.0,0
183783287,0,14.290832,14.290832,25.0,0
184783257,0,14.899431,14.899431,25.0,0
185786820,0,14.635679,14.635679,25.0,0
186779435,0,15.115804,15.115804,25.0,0
187783596,0,14.823868,14.823868,25.0,0
188783575,0,14.126616,14.126616,25.0,0
189787770,0,13.658137,13.658137,25.0,0
190783676,0,13.475736,13.475736,25.0,0
191787329,0,13.239737,13.239737,25.0,0
192787177,0,10.0864525,10.0864525,25.0,0
193784051,0,4.653112,4.653112,25.0,0
194783748,0,1.7486911,1.7486911,25.0,0
195788128,0,0.6384874,0.6384874,25.0,0
196788184,0,0.6749936,0.6749936,25.0,0
197784188,0,0.5393648,0.5393648,25.0,0
198783969,0,0.49049497,0.49049497,25.0,0
199788116,0,0.55658126,0.55658126,25.0,0
200783958,0,0.5423373,0.5423373,25.0,0
201784399,0,0.50515205,0.50515205,25.0,0
202784246,0,0.50842464,0.50842464,25.0,0
203787743,0,0.57847387,0.57847387,25.0,0
204783634,0,0.59243834,0.59243834,25.0,0
205784228,0,0.6461183,0.6461183,25.0,0
206788230,0,0.66646475,0.66646475,25.0,0
207784425,0,0.64542687,0.64542687,25.0,0
208784389,0,0.60301673,0.60301673,25.0,0
209784354,0,0.60928816,0.60928816,25.0,0
210788534,0,0.56419665,0.56419665,25.0,0
211784612,0,0.50858736,0.50858736,25.0,0
212783896,0,0.46865618,0.46865618,25.0,0
213788166,0,0.40616632,0.40616632,25.0,0
214784690,0,0.33945283,0.33945283,25.0,0
215784821,0,0.3459161,0.3459161,25.0,0
216784679,0,0.37171465,0.37171465,25.0,0
217784744,0,0.36623412,0.36623412,25.0,0
218784909,0,0.37361506,0.37361506,25.0,0
219784953,0,0.4107906,0.4107906,25.0,0
220785137,0,0.4550674,0.4550674,25.0,0
221784990,0,0.4632106,0.4632106,25.0,0
222784994,0,0.4967884,0.4967884,25.0,0
223785032,0,0.5301994,0.5301994,25.0,0
224785124,0,0.5522078,0.5522078,25.0,0
225784311,0,0.5230379,0.5230379,25.0,0
226784906,0,0.49662572,0.49662572,25.0,0
227785184,0,0.47527668,0.47527668,25.0,0
228785108,0,0.4110997,0.4110997,25.0,0
229785449,0,0.43790174,0.43790174,25.0,0
230785315,0,0.44674176,0.44674176,25.0,0
231789152,0,0.43311647,0.43311647,25.0,0
232785098,0,0.41024604,0.41024604,25.0,0
233784886,0,0.3614523,0.3614523,25.0,0
234780897,0,0.39769894,0.39769894,25.0,0
235784960,0,0.39158714,0.39158714,25.0,0
236785003,0,0.40746698,0.40746698,25.0,0
237785389,0,0.40538082,0.40538082,25.0,0
238785330,0,0.39716923,0.39716923,25.0,0
239784904,0,0.39965078,0.39965078,25.0,0
240785366,0,0.3933486,0.3933486,25.0,0
241785909,0,0.40163603,0.40163603,25.0,0
242785753,0,0.4197211,0.4197211,25.0,0
243785789,0,0.41821674,0.41821674,25.0,0
244785162,0,0.40766218,0.40766218,25.0,0
245785481,0,0.43105817,0.43105817,25.0,0
246785220,0,0.43023062,0.43023062,25.0,0
247785769,0,0.49146962,0.49146962,25.0,0
248785794,0,0.4769129,0.4769129,25.0,0
249786162,0,0.46607354,0.46607354,25.0,0
250786108,0,0.43650642,0.43650642,25.0,0
251786092,0,0.37143722,0.37143722,25.0,0
252785984,0,0.36376432,0.36376432,25.0,0
253786125,0,0.35249603,0.35249603,25.0,0
254786006,0,0.32651743,0.32651743,25.0,0
255786247,0,0.32349703,0.32349703,25.0,0
256782193,0,0.2951233,0.2951233,25.0,0
257785749,0,0.24246797,0.24246797,25.0,0
258785687,0,0.28591612,0.28591612,25.0,0
259786508,0,0.24425516,0.24425516,25.0,0
260786269,0,0.11407697,0.11407697,25.0,0
261786309,0,0.03845596,0.03845596,25.0,0
262786214,0,0.014892308,0.014892308,25.0,0
263782340,0,0.01072696,0.01072696,25.0,0
264786496,0,0.00425493,0.00425493,25.0,0
265786286,0,7.9785925e-05,7.9785925e-05,25.0,0
266782536,0,4.4075284e-07,4.4075284e-07,25.0,0
267786415,0,1.9572354e-07,1.9572354e-07,25.0,0
268785895,0,5.8528737e-09,5.8528737e-09,25.0,0
