timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
26685622,1310988,1310988,0,0,0,0,0,243.78009,243.78009,243.78009,243.78009,0.00427277,0.00025151027,5.720008e-08,-0.50138223,0.3483347,-9.779205,0.004198896,-0.0121742645,0.007098052,25.0,25.0
26789427,1310988,1310988,0,0,0,0,0,243.78009,243.78009,243.78009,243.78009,0.0045890347,0.00026442748,5.991355e-08,-0.0744872,-0.018036049,-9.784015,-0.012751383,-0.010844754,-0.011666726,25.0,25.0
27673183,1310988,1310988,0,0,0,0,0,245.69852,245.69852,245.69852,245.69852,0.004778642,0.00029109255,6.234564e-08,-0.080403484,-0.0877893,-9.623877,-0.01584357,-0.036411237,-0.023135452,25.0,25.0
28701399,1310988,1310988,0,0,0,0,0,245.69852,245.69852,245.69852,245.69852,0.0076010036,0.00037369775,8.143606e-08,-0.11480206,-0.032200478,-9.746012,-0.004643812,-0.019407285,0.008939477,25.0,25.0
29727184,1310988,1310988,0,0,0,0,0,245.69852,245.69852,245.69852,245.69852,0.0084018875,0.0003942499,1.2792604e-07,-0.024847005,-0.12045914,-9.696332,-0.0073527163,-0.030161832,0.02121585,25.0,25.0
30717651,1310988,1310988,0,0,0,0,0,232.94229,232.94229,232.94229,232.94229,0.022678856,0.00039902795,8.162271e-08,-0.20188124,-0.17193906,-9.937801,0.13700719,-0.011829245,-0.004682434,25.0,25.0
31685366,1310988,1310988,0,0,0,0,0,235.13622,235.13622,235.13622,235.13622,0.0055944016,0.00032633127,7.239058e-08,-0.08550935,-0.033540115,-10.041946,0.0374484,-0.12308992,0.013643663,25.0,25.0
32765663,1310988,1310988,0,0,0,0,0,235.6855,235.6855,235.6855,235.6855,0.00660324,0.0003221313,7.621457e-08,-0.23313835,-0.014639479,-9.350782,0.117003866,-0.030839518,0.063111864,25.0,25.0
33757949,1310988,1310988,0,0,0,0,0,232.51279,232.51279,232.51279,232.51279,0.015012182,0.0004207581,9.8635475e-08,-0.042117517,-0.048989836,-9.653697,-0.016824184,-0.018381113,0.013833529,25.0,25.0
34713811,1310988,1310988,0,0,0,0,0,233.22476,233.22476,233.22476,233.22476,0.0056644697,0.00032844185,7.69413e-08,-0.03630704,-0.028160699,-9.726319,0.012108028,-0.026339374,-0.006289197,25.0,25.0
35701893,1310988,1310988,0,0,0,0,0,234.37796,234.37796,234.37796,234.37796,0.0043282444,0.00031565662,6.5547574e-08,-0.21604322,-0.050242823,-10.284802,-0.14255995,0.0062374743,-0.055309936,25.0,25.0
36677771,1310988,1310988,0,0,0,0,0,235.33975,235.33975,235.33975,235.33975,0.004846345,0.0003204399,6.649073e-08,-0.22642045,-0.24740046,-9.487708,-0.022454873,-0.08220403,-0.038343895,25.0,25.0
37693419,1310988,1310988,0,0,0,0,0,236.54224,236.54224,236.54224,236.54224,0.0042172167,0.00033233085,7.8258964e-08,-0.14432487,-0.41099232,-9.310157,-0.01143526,-0.13446166,-0.12234253,25.0,25.0
38689922,1310988,1310988,0,0,0,0,0,237.03989,237.03989,237.03989,237.03989,0.005264966,0.00032548376,8.039848e-08,-0.049728993,-0.031799987,-9.776912,-0.021357652,-0.011575337,-0.0016086998,25.0,25.0
39682015,1310988,1310988,0,0,0,0,0,237.76251,237.76251,237.76251,237.76251,0.0047607534,0.00033700166,8.2101145e-08,-0.53539824,-0.07555064,-9.93643,-0.03941447,-0.05681295,0.008932081,25.0,25.0
40686447,1310988,1310988,0,0,0,0,0,238.24376,238.24376,238.24376,238.24376,0.0047858744,0.00035465104,8.817506e-08,0.08504316,-0.065399356,-9.83391,0.009988658,-0.009423614,0.033423275,25.0,25.0
41766161,1310988,1310988,0,0,0,0,0,238.72424,238.72424,238.72424,238.72424,0.0057154535,0.0003104721,7.193942e-08,0.065034926,-0.013203188,-9.747429,-0.0010823075,-0.027183615,0.006004671,25.0,25.0
42666125,1310988,1310988,0,0,0,0,0,238.96432,238.96432,238.96432,238.96432,0.0042990227,0.0003197566,7.954272e-08,0.015426457,-0.06537786,-9.784407,-0.0064582676,-0.037900932,0.026904542,25.0,25.0
43686333,1310988,1310988,0,0,0,0,0,239.447,239.447,239.447,239.447,0.0039000942,0.0003207877,7.1697976e-08,-0.034148987,-0.019627336,-9.656815,-0.017621635,-0.029532017,0.028442698,25.0,25.0
44670088,1310988,1310988,0,0,0,0,0,239.68808,239.68808,239.68808,239.68808,0.0051595676,0.00032899584,7.276226e-08,-0.043688703,-0.004728503,-9.786528,0.005669869,-0.0076285517,0.034998056,25.0,25.0
45709564,1310988,1310988,0,0,0,0,0,239.92935,239.92935,239.92935,239.92935,0.005898178,0.00033050866,7.291226e-08,-0.0326291,0.014580473,-9.800763,-0.015022299,-0.00417971,0.035850655,25.0,25.0
46726325,1310988,1310988,0,0,0,0,0,239.92935,239.92935,239.92935,239.92935,0.0068864054,0.00032940856,7.869842e-08,0.028138667,-0.05430213,-9.643057,-0.026243994,-0.02521544,0.029697496,25.0,25.0
47718500,1310988,1310988,0,0,0,0,0,240.17767,240.17767,240.17767,240.17767,0.006760158,0.0003416216,1.1960772e-07,0.02345448,-0.070246324,-10.655051,-0.04445719,0.042719416,0.0062321182,25.0,25.0
48682142,1310988,1310988,0,0,0,0,0,240.41913,240.41913,240.41913,240.41913,0.0058355005,0.00035019574,1.2664506e-07,-0.05487208,-0.06049949,-9.937115,-0.002321306,0.013147212,0.029476978,25.0,25.0
49666567,1310988,1310988,0,0,0,0,0,240.17665,240.17665,240.17665,240.17665,0.0068830457,0.00039119585,1.6979587e-07,-0.0622953,-0.037393108,-9.93651,-0.056549348,-0.0011615157,0.010999905,25.0,25.0
50686468,1310988,1310988,0,0,0,0,0,240.17665,240.17665,240.17665,240.17665,0.0045722015,0.00036057935,1.202204e-07,-0.07588339,-0.10047836,-10.430895,-0.017689394,-0.009610587,0.013794135,25.0,25.0
51706068,1310988,1310988,0,0,0,0,0,240.41727,240.41727,240.41727,240.41727,0.0054384153,0.000347103,1.025138e-07,-0.0023749792,-0.042301577,-9.758491,0.037626382,-0.017194139,0.016449308,25.0,25.0
52674688,1310988,1310988,0,0,0,0,0,240.65932,240.65932,240.65932,240.65932,0.004080237,0.000331502,9.78616e-08,0.0030109298,-0.05829203,-9.791602,0.0054552746,-0.00059637305,-0.010415061,25.0,25.0
53690488,1310988,1310988,0,0,0,0,0,240.90096,240.90096,240.90096,240.90096,0.0051756063,0.00034814343,1.17241626e-07,0.011229989,0.01690326,-9.869707,0.017454006,0.0005260077,-0.011654045,25.0,25.0
54674139,1310988,1310988,0,0,0,0,0,241.14305,241.14305,241.14305,241.14305,0.004973098,0.00038325955,1.3772426e-07,-0.051015023,-0.056636084,-9.789393,-0.023323955,-0.0017496296,0.018027162,25.0,25.0
55694925,1310988,1310988,0,0,0,0,0,241.14305,241.14305,241.14305,241.14305,0.00593537,0.00037379854,1.664099e-07,-0.066442214,-0.06578976,-10.995997,-0.11310209,-0.0036636288,-0.0145815555,25.0,25.0
56718639,1310988,1310988,0,0,0,0,0,241.14305,241.14305,241.14305,241.14305,0.003918379,0.0003399908,1.525607e-07,-0.040902637,-0.033138834,-9.817389,0.040677357,-0.028983947,0.023769736,25.0,25.0
57734973,1310988,1310988,0,0,0,0,0,241.14305,241.14305,241.14305,241.14305,0.0049022906,0.00034157382,1.1520017e-07,-0.1329653,0.01877606,-9.908367,0.005218912,-0.044421952,0.012458595,25.0,25.0
58686708,1310988,1310988,0,0,0,0,0,241.38705,241.38705,241.38705,241.38705,0.003856988,0.00030513474,9.928043e-08,-0.17315988,-0.045403667,-9.8262005,0.0026680771,-0.033511102,0.013605929,25.0,25.0
59714765,1310988,1310988,0,0,0,0,0,241.38705,241.38705,241.38705,241.38705,0.0044416343,0.00036575377,1.4552641e-07,-0.2091117,-0.091769055,-9.604095,-0.0007274392,-0.048536435,0.018246006,25.0,25.0
60718896,1310988,1310988,0,0,0,0,0,241.63016,241.63016,241.63016,241.63016,0.0036363371,0.00033805106,1.2552653e-07,-0.08324511,0.0047143893,-9.625285,0.036729865,-0.0059177587,0.0152138835,25.0,25.0
61690869,1310988,1310988,0,0,0,0,0,241.87253,241.87253,241.87253,241.87253,0.0058214692,0.00039355797,1.8825446e-07,-0.10927795,-0.03792329,-9.790346,-0.1368178,-0.002155742,0.02683237,25.0,25.0
62674454,1310988,1310988,0,0,0,0,0,241.06596,241.06596,241.06596,241.06596,0.009686023,0.0007601009,9.948468e-07,-0.11560251,0.043209825,-9.610528,-0.12854044,0.025522795,-0.00457525,25.0,25.0
63698707,1310988,1310988,0,0,0,0,0,241.06596,241.06596,241.06596,241.06596,0.0050615864,0.00039789735,2.2837742e-07,-0.1716572,-0.018453185,-9.692241,-0.040408634,-0.07267743,0.0144480765,25.0,25.0
64715050,1310988,1310988,0,0,0,0,0,241.06596,241.06596,241.06596,241.06596,0.0044322507,0.00033749483,1.2083487e-07,-0.24605335,-0.05632571,-9.399515,0.016671482,-0.037711725,-0.00040600984,25.0,25.0
65731247,1310988,1310988,0,0,0,0,0,241.06596,241.06596,241.06596,241.06596,0.0042575966,0.00033658027,1.08737964e-07,-0.14996164,-0.04865848,-9.384464,0.00027713983,0.028555492,0.036939986,25.0,25.0
66759018,1310988,1310988,0,0,0,0,0,241.30804,241.30804,241.30804,241.30804,0.0052572447,0.0003659,1.2678136e-07,-0.23235372,0.053456467,-9.57624,0.047973655,0.002003185,0.0042811986,25.0,25.0
67679392,1310988,1310988,0,0,0,0,0,241.30804,241.30804,241.30804,241.30804,0.0049784402,0.0003372504,1.1654072e-07,-0.1193253,0.007708219,-9.094072,-0.00283903,-0.032228597,0.024818826,25.0,25.0
68754792,1310988,1310988,0,0,0,0,0,245.37254,245.37254,245.37254,245.37254,0.0048957677,0.00034463085,1.3196565e-07,-0.16555071,0.0222469,-9.151942,0.017844183,-0.030473636,0.038094476,25.0,25.0
69679549,1310988,1310988,0,0,0,0,0,245.37254,245.37254,245.37254,245.37254,0.0052573923,0.00036261225,1.1434349e-07,-0.17184451,-0.041821096,-9.267828,0.023323834,0.0017612497,0.037215844,25.0,25.0
70699093,1310988,1310988,0,0,0,0,0,245.37254,245.37254,245.37254,245.37254,0.003421419,0.00034713864,1.2904476e-07,-0.11630884,0.073912576,-9.45301,0.022013666,-0.019074323,0.037253387,25.0,25.0
71703532,1310988,1310988,0,0,0,0,0,242.92897,242.92897,242.92897,242.92897,0.005643974,0.0003626295,1.5463172e-07,-0.2152178,0.09864386,-9.686753,0.007832721,-0.018731384,0.052590113,25.0,25.0
72711201,1310988,1310988,0,0,0,0,0,242.39423,242.39423,242.39423,242.39423,0.0047849943,0.0004002843,3.6117393e-07,-0.26758906,0.021134865,-9.837181,0.049990144,-0.042087417,-0.10320535,25.0,25.0
73707240,1310988,1310988,0,0,0,0,0,243.13173,243.13173,243.13173,243.13173,0.003445269,0.00038414146,2.9813881e-07,-0.82388645,0.08732633,-9.662592,0.059251003,0.32154986,0.026591696,25.0,25.0
74683226,1310988,1310988,0,0,0,0,0,242.76889,242.76889,242.76889,242.76889,0.0039174655,0.0003742777,2.007328e-07,-1.0276988,-0.34911796,-9.691095,0.06330447,-0.055801127,0.13736482,25.0,25.0
75667707,1310988,1310988,0,0,0,0,0,243.01816,243.01816,243.01816,243.01816,0.0045238524,0.00034800713,1.597182e-07,-1.4549458,-0.06811817,-10.062069,0.07690039,-0.067512535,-0.06511624,25.0,25.0
76723452,1310988,1310988,0,0,0,0,0,243.26161,243.26161,243.26161,243.26161,0.0042349035,0.0003460789,1.3289613e-07,-1.1740541,-0.026355399,-9.695553,0.029768478,-0.065178186,-0.0014363399,25.0,25.0
77719532,1310988,1310988,0,0,0,0,0,243.75769,243.75769,243.75769,243.75769,0.0035219342,0.00033985532,1.1138624e-07,-1.2455318,0.007249659,-9.498281,0.0078797955,0.015376195,0.036806487,25.0,25.0
78731705,1310988,1310988,0,0,0,0,0,244.00508,244.00508,244.00508,244.00508,0.0038209455,0.00034684973,1.15236745e-07,-1.182786,0.023344612,-9.488262,0.034598194,0.062169813,0.010370338,25.0,25.0
79671110,1310988,1310988,0,0,0,0,0,244.25032,244.25032,244.25032,244.25032,0.0042704795,0.00032551994,1.14330085e-07,-0.86766183,-0.0005087464,-9.54784,0.0609665,0.11225315,-0.030256106,25.0,25.0
80727516,1310988,1310988,0,0,0,0,0,244.49559,244.49559,244.49559,244.49559,0.004564416,0.00038434452,3.0837506e-07,-1.0349855,0.11027075,-9.840598,-0.15670113,-0.013677682,0.15119797,25.0,25.0
81751618,1310988,1310988,0,0,0,0,0,244.49559,244.49559,244.49559,244.49559,0.0044773053,0.00034848,1.4859982e-07,-1.1124611,0.02814184,-9.585735,0.019799631,-0.012611002,0.033751883,25.0,25.0
82739842,1310988,1310988,0,0,0,0,0,244.19618,244.19618,244.19618,244.19618,0.0050304113,0.00036080106,1.4538894e-07,-1.0301046,0.029552447,-9.614135,-0.009991744,0.045597978,-0.0050778547,25.0,25.0
83715874,1310988,1310988,0,0,0,0,0,244.44148,244.44148,244.44148,244.44148,0.0036232693,0.00035820113,1.3411555e-07,-0.93484056,-0.073065735,-9.3399935,-0.061597887,0.02888567,-0.04601556,25.0,25.0
84731835,1310988,1310988,0,0,0,0,0,244.44148,244.44148,244.44148,244.44148,0.0036922498,0.00034762156,1.7240295e-07,-1.0918192,0.020878613,-9.557319,0.05650393,0.01082018,-0.011606943,25.0,25.0
85751175,1310988,1310988,0,0,0,0,0,244.44148,244.44148,244.44148,244.44148,0.0061992295,0.00035781995,1.186029e-07,-1.1949754,0.03670644,-9.546177,0.01634891,-0.018206166,0.0036769232,25.0,25.0
86764080,1310988,1310988,0,0,0,0,0,244.44148,244.44148,244.44148,244.44148,0.004311096,0.0003359342,1.1014712e-07,-1.1513569,-0.036665037,-9.502863,0.037448686,-0.021161593,0.04409721,25.0,25.0
87687860,1310988,1310988,0,0,0,0,0,244.44148,244.44148,244.44148,244.44148,0.004725795,0.00036050912,1.2634918e-07,-1.0939058,0.03439179,-9.506726,0.017187329,-0.027673332,0.025212446,25.0,25.0
88716066,1310988,1310988,0,0,0,0,0,244.44148,244.44148,244.44148,244.44148,0.0033097155,0.00034692418,1.430193e-07,-1.150557,0.008771389,-9.560297,0.0041315984,-0.023368461,0.019792428,25.0,25.0
89732106,1310988,1310988,0,0,0,0,0,244.44148,244.44148,244.44148,244.44148,0.0051183794,0.00033850886,1.0053203e-07,-1.2104266,-0.045836724,-9.59647,0.0347668,-0.0035272888,0.020745715,25.0,25.0
90752171,1310988,1310988,0,0,0,0,0,244.44148,244.44148,244.44148,244.44148,0.00442973,0.00032953254,1.15339624e-07,-1.1826924,-0.059052575,-9.490966,0.013038156,-0.000861513,0.006213237,25.0,25.0
91676306,1310988,1310988,0,0,0,0,0,244.44148,244.44148,244.44148,244.44148,0.0038109426,0.00032951284,9.689405e-08,-1.1665251,-0.0581709,-9.604026,0.008541022,-0.025097847,0.007914618,25.0,25.0
92699461,1310988,1310988,0,0,0,0,0,244.44148,244.44148,244.44148,244.44148,0.0038258405,0.0003247299,1.0769514e-07,-1.1931789,-0.05170834,-9.534921,-0.028317755,-0.0075805215,0.008278611,25.0,25.0
93720473,1310988,1310988,0,0,0,0,0,244.44148,244.44148,244.44148,244.44148,0.0047362284,0.00033842959,1.2026405e-07,-1.2549784,-0.06438285,-9.468115,-0.025386972,-0.032103077,0.018830206,25.0,25.0
94751659,1310988,1310988,0,0,0,0,0,244.44148,244.44148,244.44148,244.44148,0.0059284996,0.00035750816,1.603716e-07,-1.2039055,-0.10116176,-9.354831,-0.038202737,0.01984792,-0.0090448735,25.0,25.0
95668302,1310988,1310988,0,0,0,0,0,244.1928,244.1928,244.1928,244.1928,0.005296839,0.00038043613,1.7012758e-07,-1.1405272,-0.094525754,-9.564859,-0.06266625,-0.053895056,0.02740269,25.0,25.0
96684375,1310988,1310988,0,0,0,0,0,244.1928,244.1928,244.1928,244.1928,0.0044804667,0.00036523744,2.3427279e-07,-0.9068537,-0.022881977,-9.842156,-0.029909005,-0.013794765,0.0374764,25.0,25.0
97708400,1310988,1310988,0,0,0,0,0,244.1928,244.1928,244.1928,244.1928,0.004816792,0.00035533198,1.509356e-07,-0.46610007,-0.017499406,-9.572512,0.022405092,0.02784434,0.01542578,25.0,25.0
98724168,1310988,1310988,0,0,0,0,0,244.1928,244.1928,244.1928,244.1928,0.00521283,0.0005246113,8.48665e-07,-0.3284946,-0.08537542,-9.270711,0.42476955,0.2267701,0.96014404,25.0,25.0
99680657,1310988,1310988,0,0,0,0,0,243.93881,243.93881,243.93881,243.93881,0.004863824,0.0005928216,1.0999686e-06,-0.32094854,-0.090037026,-10.114968,-0.25106966,-0.3881956,0.76935905,25.0,25.0
100700529,1310988,1310988,0,0,0,0,0,243.93881,243.93881,243.93881,243.93881,0.0045291577,0.00044123916,5.195615e-07,-0.92059034,-0.09166249,-9.922262,-0.07188646,0.3443343,-0.18594301,25.0,25.0
101727829,1310988,1310988,0,0,0,0,0,243.93881,243.93881,243.93881,243.93881,0.0044828914,0.00037549692,2.7129676e-07,-1.0929617,-0.12035985,-9.793689,-0.0067413757,-0.051095493,0.012136012,25.0,25.0
102748501,1310988,1310988,0,0,0,0,0,243.93881,243.93881,243.93881,243.93881,0.0048454194,0.00035613877,1.4832521e-07,-1.1863632,-0.087406345,-9.611525,0.041837867,0.022444172,-0.013185508,25.0,25.0
103768242,1310988,1310988,0,0,0,0,0,243.93881,243.93881,243.93881,243.93881,0.004027405,0.0003392237,1.0210949e-07,-1.1037887,-0.08127101,-9.487189,0.027525831,0.01760064,0.01936021,25.0,25.0
